Gene,Function,Disease,Types of alterations,Targeted therapy,MRD Marker status,CHIP status,ELN 2022 RISK,MRD technique,Sensitivity,Monitoring frequency,Sample,ELN comment,CHIP
KRAS,RAS family of small GTPases,Acute Myeloid Leukemia,Mutations,No,Yes,No,Intermediate,,,,,,No
MECOM,transcription factor expressed in hematopoietic stem cells,Acute Myeloid Leukemia,Fusion,No,Yes,No,Adverse,RQ-PCR,10⁻⁵,,BM,,No
MLLT10,histone methyltransferase cofactor,Acute Myeloid Leukemia,Fusion,No,Yes,No,Adverse,,,,,,No
MPL,transmembrane protein receptor,Myeloproliferative Neoplasm,Mutations,No,Yes,No,,,,,,,No
RBM15/MTRFA,chimeric fusion,Acute Myeloid Leukemia,Fusion,No,Yes,No,Adverse,,,,,,No
MYBL1,transcription factor,Blastic Plasmacytoid Dendritic Cell Neoplasm,Fusion,No,Yes,No,Intermediate,,,,,,No
MYD88,signaling adaptor protein,Lymphoma,Mutations,No,Yes,No,,ddPCR (lymphoma),10⁻⁵,,,,No
NF1, negative regulator of RAS,Acute Myeloid Leukemia,Mutations,No,Yes,No,Intermediate,ecNGS only,10⁻⁴,,,,No
NPM1,nucleolar phosphoprotein,Acute Myeloid Leukemia,Mutations,No,Yes,No,Favorable,RQ-PCR / ddPCR,10⁻⁵–10⁻⁶,,BM > PB,Mandatory MRD marker,No
NRAS,RAS family of small GTPases,Acute Myeloid Leukemia,Mutations,No,Yes,No,Intermediate,,,,,,No
NTRK2, receptor tyrosine kinase,Acute Myeloid Leukemia,Fusion,"Yes: Entrectinib, Larotrectinib",Yes,No,Intermediate,,,,,,No
NTRK3, receptor tyrosine kinase,Acute Myeloid Leukemia,Fusion,"Yes: Entrectinib, Larotrectinib",Yes,No,Intermediate,,,,,,No
NUP214,nucleoporin protein,Acute Myeloid Leukemia,Fusion,No,Yes,No,Adverse,,,,,,No
NUP98,nuclear pore and nuclear-cytoplasmic trafficking,Acute Myeloid Leukemia,Fusion,No,Yes,No,Intermediate,,,,,,No
PAX5,transcription factor ,Acute Lymphoblastic Leukemia,Fusion,No,Yes,No,,,,,,,No
PDGFRA,receptor tyrosine kinase,Acute Myeloid Leukemia,Fusion,"Yes: Sorafenib, Avapritinib, Imatinib, Nilotinib, ",Yes,No,Intermediate,,,,,,No
PDGFRB,receptor tyrosine kinase,Acute Myeloid Leukemia,Fusion,"Yes: Sorafenib, Avapritinib, Imatinib, Nilotinib, ",Yes,No,Intermediate,,,,,,No
PHF6,chromatin binding protein,Acute Myeloid Leukemia,Mutations,No,No,Yes,Intermediate,Not recommended,,,,,Yes
PML/RARA,chimeric fusion,Acute Myeloid Leukemia,Fusion,"Yes: ATRA, ATO",Yes,No,Favorable,,,,,,No
PPM1D,protein phosphatase,Acute Myeloid Leukemia,Mutations,No,No,Yes,Intermediate,Not MRD,,,,Therapy-related CHIP,Yes
PRPF8,core component of spliceosome complexes,Acute Myeloid Leukemia,Mutations,No,No,Yes,Intermediate,,,,,,No
PTPN11,protein tyrosine phosphatase,Acute Myeloid Leukemia,Mutations,No,Yes,Yes,Intermediate,,,,,,No
RAD21,subunit of the cohesin complex ,Acute Myeloid Leukemia,Mutations,No,Yes,Yes,Intermediate,,,,,,No
RARA,transcription factor,Acute Myeloid Leukemia,Fusion,"Yes: ATRA, ATO",Yes,No,Favorable,,,,,,No
RB1,regulator of the cell cycle,Acute Myeloid Leukemia,Mutations,No,No,Yes,Intermediate,,,,,,No
RUNX1,transcription factor,Acute Myeloid Leukemia,Mutations,No,Yes,Yes,Adverse,ecNGS (supportive),10⁻⁴,,,Adverse biology,Yes
RUNX1/RUNX1T1,chimeric fusion,Acute Myeloid Leukemia,Fusion,Yes: Gemtuzumab Ozogamicin,Yes,No,Favorable,,,,,,No
SETBP1,DNA binding protein that functions as an epigenetic remodeler,Acute Myeloid Leukemia,Mutations,No,No,Yes,Adverse,Not MRD,,,,,Yes
SF3B1,component of the spliceosome complex,Acute Myeloid Leukemia,Mutations,Yes: Luspatercept,Yes,Yes,Adverse,,,,,,No
SH2B3,plasma membrane-associated adaptor protein,Acute Myeloid Leukemia,Mutations,No,No,Yes,Intermediate,Not recommended,,,,,Yes
SMC1A,component of the cohesin complex,Acute Myeloid Leukemia,Mutations,No,No,Yes,Intermediate,,,,,,No
SMC3,component of the cohesin complex,Acute Myeloid Leukemia,Mutations,No,No,Yes,Intermediate,,,,,,No
SRSF2,RNA splicing factor,Acute Myeloid Leukemia,Mutations,No,Yes,Yes,Adverse,,,,,,No
STAG2,component of the cohesin complex,Acute Myeloid Leukemia,Mutations,No,Yes,Yes,Adverse,,,,,,No
TCF3,transcription factor,Acute Lymphoblastic Leukemia,Fusion,No,No,Yes,,,,,,,No
TFE3,transcription factor,Acute Lymphoblastic Leukemia,Fusion,No,No,Yes,,,,,,,No
TET2,tumor suppressor and DNA demethylase,Acute Myeloid Leukemia,Mutations,No,No,Yes,Adverse,Not MRD,,,,CHIP,Yes
TP53,tumor suppressor in the DNA damage pathway,Acute Myeloid Leukemia,Mutations,No,Yes,Yes,Adverse,ecNGS (UMI-based),10⁻⁴–10⁻⁵,,BM,Clearance predicts outcome,Yes (but malignant)
U2AF1,splicing factor,Acute Myeloid Leukemia,Mutations,No,Yes,Yes,Adverse,,,,,,No
WT1,transcription factor,Acute Myeloid Leukemia,Mutations,No,Yes,Yes,Adverse,WT1 overexpression qPCR,~10⁻⁴,,BM / PB,Supportive only,No
ZRSR2,splicing factor U2 small nuclear ribonucleoprotein,Acute Myeloid Leukemia,Mutations,No,No,Yes,Adverse,,,,,,No
EP300/ZNF384,chimeric fusion,Acute Lymphoblastic Leukemia,Fusion,No,No,Yes,,,,,,,No
