Gene,Function,Disease,Types_of_alterations,Targeted_therapy,MRD_Marker_status,CHIP_status,ELN_2022_RISK
SMC3,,Acute Myeloid Leukemia,,,,,
SRSF2,,Acute Myeloid Leukemia,,,,,
STAG2,,Acute Myeloid Leukemia,,,,,
TCF3,,Acute Myeloid Leukemia,,,,,
TFE3,,Acute Myeloid Leukemia,,,,,
TET2,,Acute Myeloid Leukemia,,,,,
TP53,,Acute Myeloid Leukemia,,,,,
U2AF1,,Acute Myeloid Leukemia,,,,,
WT1,,Acute Myeloid Leukemia,,,,,
ZRSR2,,Acute Myeloid Leukemia,,,,,
ZNF384,,Acute Myeloid Leukemia,,,,,
